10010;JAN;MAYEN;JAN;MAYEN;70.933;-8.667;9;
10015;BRINGELAND;NORWAY;61.383;5.867;327;;;
10030;HORNSUND;SVALBARD;77;15.5;12;;;
10080;SVALBARD;LUFTHAVN;SVALBARD;78.25;15.467;29;;
10100;ANDOYA;NORWAY;69.3;16.133;14;;;
10230;BARDUFOSS;NORWAY;69.067;18.533;79;;;
10250;TROMSO/LANGNES;NORWAY;69.683;18.917;10;;;
10260;TROMSO;NORWAY;69.65;18.933;115;;;
10280;BJORNOYA;SVALBARD;74.517;19.017;16;;;
10300;DATSAV3;VIRT;STATION;(NORWAY);NORWAY;64.85;11.233;0
10330;TORSVAG;FYR;NORWAY;70.25;19.5;24;;
10460;SORKJOSEN;NORWAY;69.783;20.967;6;;;
10470;KAUTOKEINO;NORWAY;69;23.033;307;;;
10490;ALTA;LUFTHAVN;NORWAY;69.983;23.367;3;;
10520;HAMMERFEST;NORWAY;70.667;23.667;81;;;
10530;HAMMERFEST;RADIO;NORWAY;70.683;23.683;70;;
10550;FRUHOLMEN;FYR;NORWAY;71.1;24;14;;
10590;BANAK;NORWAY;70.067;24.983;8;;;
10610;BRENNELV;NORWAY;70.067;25.117;34;;;
10620;HOPEN;SVALBARD;76.5;25.067;10;;;
10780;SLETTNES;FYR;NORWAY;71.1;28.217;10;;
10880;VADSO;NORWAY;70.067;29.85;39;;;
10890;KIRKENES;NORWAY;69.733;29.9;91;;;
10980;VARDO;NORWAY;70.367;31.1;15;;;
11020;SKLINNA;FYR;NORWAY;65.2;11;16;;
11025;HEIDRUN;NORWAY;65.333;7.317;80;;;
11050;SKOMVAER;FYR;NORWAY;67.417;11.883;18;;
11060;ROEST;III;NORWAY;67.517;12.1;2;;
11120;BRONNOYSUND/BRONNOY;NORWAY;65.467;12.217;9;;;
11150;MYKEN;NORWAY;66.767;12.483;13;;;
11160;SANDNESSJOEN/STOKKA;NORWAY;65.967;12.467;17;;;
11220;MOSJOEN;KJAERSTAD;NORWAY;65.783;13.217;73;;
11510;MO;I;RANA/ROSSVOLL;NORWAY;66.367;14.3;70;
11520;BODO;VI;NORWAY;67.267;14.367;13;;
11600;SKROVA;FYR;NORWAY;68.15;14.65;11;;
11620;STORKMARKNES/SKAGEN;NORWAY;68.583;15.017;3;;;
11670;SORTLAND;NORWAY;68.7;15.417;3;;;
11830;EVENES;NORWAY;68.517;16.683;26;;;
11940;NARVIK;III;NORWAY;68.467;17.5;23;;
12050;SVINOY;FYR;NORWAY;62.333;5.267;41;;
